"Time","Motor"
2024-07-31 21:26:37,85 °C
2024-07-31 21:26:41,84 °C
2024-07-31 21:26:42,85 °C
2024-07-31 21:26:43,84 °C
2024-07-31 21:26:48,85 °C
2024-07-31 21:26:53,84 °C
2024-07-31 21:38:49,84 °C
2024-07-31 21:45:47,83 °C
2024-07-31 21:45:48,84 °C
2024-07-31 21:45:51,83 °C
2024-07-31 21:45:56,84 °C
2024-07-31 21:46:00,83 °C
2024-07-31 21:46:01,84 °C
2024-07-31 21:46:04,83 °C
2024-07-31 21:46:06,84 °C
2024-07-31 21:46:07,83 °C
2024-07-31 21:46:09,84 °C
2024-07-31 21:46:10,83 °C
2024-07-31 21:46:12,84 °C
2024-07-31 21:46:13,83 °C
2024-07-31 21:46:21,84 °C
2024-07-31 21:46:23,83 °C
2024-07-31 21:46:25,84 °C
2024-07-31 21:46:26,83 °C
2024-07-31 21:46:27,84 °C
2024-07-31 21:46:29,83 °C
2024-07-31 21:59:01,83 °C
2024-07-31 21:59:02,83 °C
2024-07-31 21:59:10,83 °C
2024-07-31 21:59:11,83 °C
2024-07-31 21:59:16,83 °C
2024-07-31 21:59:17,83 °C
2024-07-31 21:59:23,83 °C
2024-07-31 21:59:25,83 °C
2024-07-31 21:59:26,83 °C
2024-07-31 21:59:27,83 °C
2024-07-31 21:59:32,83 °C
2024-07-31 21:59:33,83 °C
2024-07-31 21:59:46,83 °C
2024-07-31 21:59:47,83 °C
2024-07-31 22:00:22,83 °C
2024-07-31 22:04:25,82 °C
2024-07-31 22:04:27,83 °C
2024-07-31 22:04:29,82 °C
2024-07-31 22:04:30,83 °C
2024-07-31 22:04:42,82 °C
2024-07-31 22:04:43,83 °C
2024-07-31 22:04:44,82 °C
2024-07-31 22:04:47,83 °C
2024-07-31 22:04:48,82 °C
2024-07-31 22:04:50,83 °C
2024-07-31 22:04:51,82 °C
2024-07-31 22:04:52,83 °C
2024-07-31 22:04:53,82 °C
2024-07-31 22:04:55,83 °C
2024-07-31 22:04:57,82 °C
2024-07-31 22:05:10,83 °C
2024-07-31 22:05:12,82 °C
2024-07-31 22:21:01,82 °C
2024-07-31 22:21:02,82 °C
2024-07-31 22:21:05,82 °C
2024-07-31 22:21:06,82 °C
2024-07-31 22:21:08,82 °C
2024-07-31 22:21:09,82 °C
2024-07-31 22:21:15,82 °C
2024-07-31 22:21:17,82 °C
2024-07-31 22:21:23,82 °C
2024-07-31 22:21:24,82 °C
2024-07-31 22:21:38,82 °C
2024-07-31 22:21:39,82 °C
2024-07-31 22:21:43,82 °C
2024-07-31 22:22:43,81 °C
2024-07-31 22:22:45,82 °C
2024-07-31 22:22:46,81 °C
2024-07-31 22:22:47,82 °C
2024-07-31 22:23:00,81 °C
2024-07-31 22:23:02,82 °C
2024-07-31 22:23:04,81 °C
2024-07-31 22:23:05,82 °C
2024-07-31 22:23:07,81 °C
2024-07-31 22:23:08,82 °C
2024-07-31 22:23:09,81 °C
2024-07-31 22:23:10,82 °C
2024-07-31 22:23:12,81 °C
2024-07-31 22:23:14,82 °C
2024-07-31 22:23:16,81 °C
2024-07-31 22:39:21,80 °C
2024-07-31 22:39:22,81 °C
2024-07-31 22:39:41,80 °C
2024-07-31 22:39:42,81 °C
2024-07-31 22:39:46,80 °C
2024-07-31 22:39:49,81 °C
2024-07-31 22:39:50,80 °C
2024-07-31 22:39:51,81 °C
2024-07-31 22:39:55,80 °C
2024-07-31 22:39:56,81 °C
2024-07-31 22:39:59,80 °C
2024-07-31 22:40:00,81 °C
2024-07-31 22:40:03,80 °C
2024-07-31 22:40:13,81 °C
2024-07-31 22:40:14,80 °C
2024-07-31 22:40:15,81 °C
2024-07-31 22:40:17,80 °C
2024-07-31 22:40:26,81 °C
2024-07-31 22:40:27,80 °C
2024-07-31 22:40:30,81 °C
2024-07-31 22:40:31,80 °C
2024-07-31 22:40:32,81 °C
2024-07-31 22:40:33,80 °C
2024-07-31 22:40:36,81 °C
2024-07-31 22:40:37,80 °C
2024-07-31 22:40:46,81 °C
2024-07-31 22:40:47,80 °C
2024-07-31 22:42:50,80 °C
2024-07-31 22:42:54,80 °C
2024-07-31 22:42:58,80 °C
2024-07-31 22:43:00,80 °C
2024-07-31 22:43:03,80 °C
2024-07-31 22:43:13,80 °C
2024-07-31 22:43:15,80 °C
2024-07-31 22:43:19,80 °C
2024-07-31 22:43:20,80 °C
2024-07-31 22:43:21,80 °C
2024-07-31 22:43:24,80 °C
2024-07-31 22:43:25,80 °C
2024-07-31 22:43:27,80 °C
2024-07-31 22:56:47,79 °C
2024-07-31 22:56:48,80 °C
2024-07-31 22:56:50,79 °C
2024-07-31 22:56:56,80 °C
2024-07-31 22:56:57,79 °C
2024-07-31 22:56:58,80 °C
2024-07-31 22:57:01,79 °C
2024-07-31 22:57:02,80 °C
2024-07-31 22:57:07,79 °C
2024-07-31 22:57:08,80 °C
2024-07-31 22:57:10,79 °C
2024-07-31 22:57:11,80 °C
2024-07-31 22:57:12,79 °C
2024-07-31 22:57:13,80 °C
2024-07-31 22:57:16,79 °C
2024-07-31 23:03:03,79 °C
2024-07-31 23:03:25,79 °C
2024-07-31 23:03:44,79 °C
2024-07-31 23:03:47,79 °C
2024-07-31 23:06:09,79 °C
2024-07-31 23:11:39,79 °C
2024-07-31 23:11:40,79 °C
2024-07-31 23:12:05,79 °C
2024-07-31 23:12:06,79 °C
2024-07-31 23:12:18,79 °C
2024-07-31 23:12:20,79 °C
2024-07-31 23:12:23,79 °C
2024-07-31 23:12:25,79 °C
2024-07-31 23:12:31,79 °C
2024-07-31 23:12:32,79 °C
2024-07-31 23:12:36,79 °C
2024-07-31 23:12:37,79 °C
2024-07-31 23:12:39,79 °C
2024-07-31 23:12:40,79 °C
2024-07-31 23:12:42,79 °C
2024-07-31 23:12:45,79 °C
2024-07-31 23:12:49,79 °C
2024-07-31 23:12:50,79 °C
2024-07-31 23:12:56,79 °C
2024-07-31 23:12:59,79 °C
2024-07-31 23:13:03,79 °C
2024-07-31 23:13:04,79 °C
2024-07-31 23:13:05,79 °C
2024-07-31 23:13:06,79 °C
2024-07-31 23:13:09,79 °C
2024-07-31 23:13:12,79 °C
2024-07-31 23:13:14,79 °C
2024-07-31 23:13:15,79 °C
2024-07-31 23:13:19,79 °C
2024-07-31 23:13:20,79 °C
2024-07-31 23:13:21,79 °C
2024-07-31 23:13:24,79 °C
2024-07-31 23:13:28,79 °C
2024-07-31 23:13:29,79 °C
2024-07-31 23:13:30,79 °C
2024-07-31 23:13:31,79 °C
2024-07-31 23:13:33,79 °C
2024-07-31 23:13:35,79 °C
2024-07-31 23:13:37,79 °C
2024-07-31 23:13:39,79 °C
2024-07-31 23:13:40,79 °C
2024-07-31 23:13:41,78 °C
2024-07-31 23:13:42,79 °C
2024-07-31 23:13:46,78 °C
2024-07-31 23:13:48,79 °C
2024-07-31 23:13:49,79 °C
2024-07-31 23:13:50,78 °C
2024-07-31 23:13:54,79 °C
2024-07-31 23:13:55,79 °C
2024-07-31 23:13:56,79 °C
2024-07-31 23:13:57,78 °C
2024-07-31 23:14:01,78 °C
2024-07-31 23:14:02,79 °C
2024-07-31 23:14:04,78 °C
2024-07-31 23:14:07,79 °C
2024-07-31 23:14:09,78 °C
2024-07-31 23:14:12,78 °C
2024-07-31 23:14:13,79 °C
2024-07-31 23:14:14,78 °C
2024-07-31 23:15:06,78 °C
2024-07-31 23:15:07,78 °C
2024-07-31 23:28:27,78 °C
2024-07-31 23:30:12,77 °C
2024-07-31 23:30:13,78 °C
2024-07-31 23:30:17,77 °C
2024-07-31 23:30:18,78 °C
2024-07-31 23:30:23,77 °C
2024-07-31 23:30:26,78 °C
2024-07-31 23:30:27,77 °C
2024-07-31 23:30:34,78 °C
2024-07-31 23:30:36,77 °C
2024-07-31 23:30:55,78 °C
2024-07-31 23:30:57,77 °C
2024-07-31 23:31:10,78 °C
2024-07-31 23:31:12,77 °C
2024-07-31 23:47:02,76 °C
2024-07-31 23:47:06,77 °C
2024-07-31 23:47:07,76 °C
2024-07-31 23:47:09,77 °C
2024-07-31 23:47:12,76 °C
2024-07-31 23:47:19,77 °C
2024-07-31 23:47:20,76 °C
2024-07-31 23:53:30,76 °C
2024-08-01 00:03:36,75 °C
2024-08-01 00:03:37,76 °C
2024-08-01 00:03:39,75 °C
2024-08-01 00:03:40,76 °C
2024-08-01 00:03:46,75 °C
2024-08-01 00:03:49,76 °C
2024-08-01 00:03:57,75 °C
2024-08-01 00:04:01,76 °C
2024-08-01 00:04:02,75 °C
2024-08-01 00:04:05,76 °C
2024-08-01 00:04:08,75 °C
2024-08-01 00:17:53,75 °C
2024-08-01 00:17:55,75 °C
2024-08-01 00:18:02,75 °C
2024-08-01 00:18:06,75 °C
2024-08-01 00:18:16,75 °C
2024-08-01 00:18:19,75 °C
2024-08-01 00:18:22,75 °C
2024-08-01 00:18:23,75 °C
2024-08-01 00:18:28,75 °C
2024-08-01 00:18:30,75 °C
2024-08-01 00:18:31,75 °C
2024-08-01 00:18:34,75 °C
2024-08-01 00:18:35,75 °C
2024-08-01 00:18:36,75 °C
2024-08-01 00:18:38,75 °C
2024-08-01 00:18:39,75 °C
2024-08-01 00:18:41,75 °C
2024-08-01 00:18:43,75 °C
2024-08-01 00:18:48,75 °C
2024-08-01 00:20:02,74 °C
2024-08-01 00:20:03,75 °C
2024-08-01 00:20:07,74 °C
2024-08-01 00:20:10,75 °C
2024-08-01 00:20:17,74 °C
2024-08-01 00:20:29,75 °C
2024-08-01 00:20:31,74 °C
2024-08-01 00:20:35,75 °C
2024-08-01 00:20:36,74 °C
2024-08-01 00:20:49,75 °C
2024-08-01 00:20:50,74 °C
2024-08-01 00:20:52,75 °C
2024-08-01 00:20:54,74 °C
2024-08-01 00:36:43,73 °C
2024-08-01 00:36:44,74 °C
2024-08-01 00:36:53,73 °C
2024-08-01 00:36:55,74 °C
2024-08-01 00:37:01,73 °C
2024-08-01 00:37:05,74 °C
2024-08-01 00:37:07,73 °C
2024-08-01 00:37:09,74 °C
2024-08-01 00:37:10,73 °C
2024-08-01 00:45:25,73 °C
2024-08-01 00:53:43,72 °C
2024-08-01 00:53:44,73 °C
2024-08-01 00:53:57,72 °C
2024-08-01 00:54:00,73 °C
2024-08-01 00:54:01,72 °C
2024-08-01 00:54:02,73 °C
2024-08-01 00:54:05,72 °C
2024-08-01 00:54:06,73 °C
2024-08-01 00:54:07,72 °C
2024-08-01 00:54:12,73 °C
2024-08-01 00:54:14,72 °C
2024-08-01 00:54:15,73 °C
2024-08-01 00:54:17,72 °C
2024-08-01 01:08:10,72 °C
2024-08-01 01:08:12,72 °C
2024-08-01 01:08:13,72 °C
2024-08-01 01:08:14,72 °C
2024-08-01 01:08:16,72 °C
2024-08-01 01:08:17,72 °C
2024-08-01 01:08:18,72 °C
2024-08-01 01:08:20,72 °C
2024-08-01 01:08:24,72 °C
2024-08-01 01:08:34,72 °C
2024-08-01 01:09:02,72 °C
2024-08-01 02:01:13,69 °C
2024-08-01 02:01:37,69 °C
2024-08-01 02:01:38,69 °C
2024-08-01 02:01:39,69 °C
2024-08-01 02:01:41,69 °C
2024-08-01 02:01:42,69 °C
2024-08-01 02:01:43,69 °C
2024-08-01 02:01:45,69 °C
2024-08-01 02:01:46,69 °C
2024-08-01 02:01:47,69 °C
2024-08-01 02:01:48,69 °C
2024-08-01 02:01:49,69 °C
2024-08-01 02:01:51,69 °C
2024-08-01 02:01:52,69 °C
2024-08-01 02:01:53,69 °C
2024-08-01 02:01:54,69 °C
2024-08-01 02:01:56,69 °C
2024-08-01 02:02:01,69 °C
2024-08-01 02:02:08,69 °C
2024-08-01 02:02:10,69 °C
2024-08-01 02:02:31,69 °C
2024-08-01 02:05:36,69 °C
2024-08-01 02:05:37,69 °C
2024-08-01 02:10:57,69 °C
2024-08-01 02:11:25,68 °C
2024-08-01 02:11:26,69 °C
2024-08-01 02:11:33,68 °C
2024-08-01 02:11:37,69 °C
2024-08-01 02:11:38,68 °C
2024-08-01 02:11:48,69 °C
2024-08-01 02:11:49,68 °C
2024-08-01 02:11:50,69 °C
2024-08-01 02:11:51,68 °C
2024-08-01 02:12:00,69 °C
2024-08-01 02:12:02,68 °C
2024-08-01 02:14:24,68 °C
2024-08-01 02:14:26,68 °C
2024-08-01 02:14:27,68 °C
2024-08-01 02:14:28,68 °C
2024-08-01 02:14:29,68 °C
2024-08-01 02:14:31,68 °C
2024-08-01 02:14:32,68 °C
2024-08-01 02:14:39,68 °C
2024-08-01 02:15:11,68 °C
2024-08-01 02:15:13,68 °C
2024-08-01 02:15:15,68 °C
2024-08-01 02:15:17,68 °C
2024-08-01 02:15:18,68 °C
2024-08-01 02:15:51,68 °C
2024-08-01 02:15:58,69 °C
2024-08-01 02:15:59,68 °C
2024-08-01 02:16:00,68 °C
2024-08-01 02:16:03,69 °C
2024-08-01 02:16:17,70 °C
2024-08-01 02:16:28,71 °C
2024-08-01 02:16:38,72 °C
2024-08-01 02:16:55,73 °C
2024-08-01 02:16:57,73 °C
2024-08-01 02:17:03,72 °C
2024-08-01 02:17:07,72 °C
2024-08-01 02:17:17,71 °C
2024-08-01 02:17:24,71 °C
2024-08-01 02:17:41,71 °C
2024-08-01 02:17:46,71 °C
2024-08-01 02:17:50,72 °C
2024-08-01 02:17:55,72 °C
2024-08-01 02:18:07,73 °C
2024-08-01 02:18:26,74 °C
2024-08-01 02:18:31,74 °C
2024-08-01 02:18:32,74 °C
2024-08-01 02:18:33,74 °C
2024-08-01 02:18:39,73 °C
2024-08-01 02:18:47,73 °C
2024-08-01 02:18:49,73 °C
2024-08-01 02:18:50,73 °C
2024-08-01 02:18:51,73 °C
2024-08-01 02:18:52,73 °C
2024-08-01 02:18:54,73 °C
2024-08-01 02:18:55,73 °C
2024-08-01 02:18:56,72 °C
2024-08-01 02:18:58,72 °C
2024-08-01 02:19:08,72 °C
2024-08-01 02:19:19,72 °C
2024-08-01 02:19:20,72 °C
2024-08-01 02:19:40,71 °C
2024-08-01 02:19:55,71 °C
2024-08-01 02:20:11,71 °C
2024-08-01 02:20:12,71 °C
2024-08-01 02:20:13,71 °C
2024-08-01 02:20:15,71 °C
2024-08-01 02:20:16,71 °C
2024-08-01 02:20:17,71 °C
2024-08-01 02:20:18,71 °C
2024-08-01 02:20:23,71 °C
2024-08-01 02:20:25,71 °C
2024-08-01 02:20:27,71 °C
2024-08-01 02:20:30,71 °C
2024-08-01 02:20:44,72 °C
2024-08-01 02:21:01,73 °C
2024-08-01 02:21:25,74 °C
2024-08-01 02:21:47,74 °C
2024-08-01 02:22:27,74 °C
2024-08-01 02:22:32,75 °C
2024-08-01 02:22:45,75 °C
2024-08-01 02:22:49,75 °C
2024-08-01 02:22:51,75 °C
2024-08-01 02:22:53,75 °C
2024-08-01 02:22:56,75 °C
2024-08-01 02:22:58,75 °C
2024-08-01 02:23:00,75 °C
2024-08-01 02:23:05,75 °C
2024-08-01 02:23:08,75 °C
2024-08-01 02:23:09,75 °C
2024-08-01 02:23:42,75 °C
2024-08-01 02:24:24,75 °C
2024-08-01 02:24:45,76 °C
2024-08-01 02:25:08,76 °C
2024-08-01 02:25:57,76 °C
2024-08-01 02:26:52,76 °C
2024-08-01 02:27:50,76 °C
2024-08-01 02:27:58,77 °C
2024-08-01 02:28:00,76 °C
2024-08-01 02:28:01,77 °C
2024-08-01 02:28:04,76 °C
2024-08-01 02:28:05,77 °C
2024-08-01 02:28:49,77 °C
2024-08-01 02:29:53,77 °C
2024-08-01 02:29:54,77 °C
2024-08-01 02:29:56,77 °C
2024-08-01 02:29:57,77 °C
2024-08-01 02:29:58,77 °C
2024-08-01 02:31:04,77 °C
2024-08-01 02:32:14,77 °C
2024-08-01 02:32:49,78 °C
2024-08-01 02:32:58,77 °C
2024-08-01 02:32:59,78 °C
2024-08-01 02:33:25,78 °C
2024-08-01 02:34:39,78 °C
2024-08-01 02:35:53,78 °C
2024-08-01 02:37:08,78 °C
2024-08-01 02:37:09,78 °C
2024-08-01 02:37:10,78 °C
2024-08-01 02:39:13,78 °C
2024-08-01 02:39:43,78 °C
2024-08-01 02:40:48,78 °C
2024-08-01 02:40:50,78 °C
2024-08-01 02:40:51,78 °C
2024-08-01 02:42:39,78 °C
2024-08-01 02:42:40,78 °C
2024-08-01 02:42:43,77 °C
2024-08-01 02:42:45,78 °C
2024-08-01 02:42:46,78 °C
2024-08-01 02:42:47,77 °C
2024-08-01 02:43:00,77 °C
2024-08-01 02:43:01,77 °C
2024-08-01 02:43:27,77 °C
2024-08-01 02:43:28,77 °C
2024-08-01 02:43:33,77 °C
2024-08-01 02:43:34,77 °C
2024-08-01 02:43:45,77 °C
2024-08-01 02:43:47,77 °C
2024-08-01 02:43:51,77 °C
2024-08-01 02:43:52,77 °C
2024-08-01 02:44:07,77 °C
2024-08-01 02:44:09,77 °C
2024-08-01 02:44:11,77 °C
2024-08-01 02:44:12,77 °C
2024-08-01 02:44:15,77 °C
2024-08-01 02:44:16,77 °C
2024-08-01 02:44:17,77 °C
2024-08-01 02:44:19,77 °C
2024-08-01 02:44:21,77 °C
2024-08-01 02:44:22,77 °C
2024-08-01 02:44:24,77 °C
2024-08-01 02:44:25,77 °C
2024-08-01 02:44:26,77 °C
2024-08-01 02:44:29,77 °C
2024-08-01 02:44:30,77 °C
2024-08-01 02:44:31,77 °C
2024-08-01 02:44:32,77 °C
2024-08-01 02:44:34,77 °C
2024-08-01 02:44:46,77 °C
2024-08-01 02:44:47,77 °C
2024-08-01 02:44:48,77 °C
2024-08-01 02:44:50,77 °C
2024-08-01 02:44:54,77 °C
2024-08-01 02:44:55,77 °C
2024-08-01 02:44:56,77 °C
2024-08-01 02:45:05,77 °C
2024-08-01 02:45:06,77 °C
2024-08-01 02:45:08,77 °C
2024-08-01 02:45:10,77 °C
2024-08-01 02:45:11,77 °C
2024-08-01 02:45:13,77 °C
2024-08-01 02:45:14,77 °C
2024-08-01 02:45:25,77 °C
2024-08-01 02:45:27,77 °C
2024-08-01 02:45:28,77 °C
2024-08-01 02:45:29,77 °C
2024-08-01 02:45:35,77 °C
2024-08-01 02:45:36,77 °C
2024-08-01 02:45:38,77 °C
2024-08-01 02:45:40,77 °C
2024-08-01 02:45:42,77 °C
2024-08-01 02:45:44,77 °C
2024-08-01 02:49:17,77 °C
2024-08-01 02:49:20,77 °C
2024-08-01 02:49:25,77 °C
2024-08-01 02:49:26,77 °C
2024-08-01 02:49:31,77 °C
2024-08-01 02:49:32,77 °C
2024-08-01 02:49:35,77 °C
2024-08-01 02:49:36,77 °C
2024-08-01 02:49:42,77 °C
2024-08-01 02:49:45,77 °C
2024-08-01 02:49:50,77 °C
2024-08-01 02:49:51,77 °C
2024-08-01 02:49:54,77 °C
2024-08-01 02:49:55,77 °C
2024-08-01 02:49:59,77 °C
2024-08-01 02:50:00,77 °C
2024-08-01 02:50:02,77 °C
2024-08-01 02:50:04,77 °C
2024-08-01 02:50:19,77 °C
2024-08-01 02:50:21,77 °C
2024-08-01 02:50:25,77 °C
2024-08-01 02:50:28,77 °C
2024-08-01 02:50:29,77 °C
2024-08-01 02:50:33,77 °C
2024-08-01 02:50:36,77 °C
2024-08-01 02:50:40,77 °C
2024-08-01 02:50:46,77 °C
2024-08-01 02:50:48,77 °C
2024-08-01 02:50:51,77 °C
2024-08-01 02:50:53,77 °C
2024-08-01 02:50:55,77 °C
2024-08-01 02:51:01,77 °C
2024-08-01 02:51:04,77 °C
2024-08-01 02:51:05,77 °C
2024-08-01 02:51:06,77 °C
2024-08-01 02:51:08,77 °C
2024-08-01 02:51:10,77 °C
2024-08-01 02:51:11,77 °C
2024-08-01 02:51:13,77 °C
2024-08-01 02:51:27,77 °C
2024-08-01 02:51:29,77 °C
2024-08-01 02:51:30,77 °C
2024-08-01 02:51:34,77 °C
2024-08-01 02:51:35,77 °C
2024-08-01 02:51:37,77 °C
2024-08-01 02:51:39,77 °C
2024-08-01 02:51:41,77 °C
2024-08-01 02:51:46,77 °C
2024-08-01 02:51:47,77 °C
2024-08-01 02:52:12,77 °C
2024-08-01 02:52:13,77 °C
2024-08-01 02:52:16,77 °C
2024-08-01 02:52:18,77 °C
2024-08-01 02:53:16,77 °C
2024-08-01 02:53:17,77 °C
2024-08-01 02:53:28,77 °C
2024-08-01 02:53:30,77 °C
2024-08-01 03:00:38,77 °C
2024-08-01 03:00:39,77 °C
2024-08-01 03:00:41,76 °C
2024-08-01 03:00:42,77 °C
2024-08-01 03:00:43,77 °C
2024-08-01 03:00:47,77 °C
2024-08-01 03:00:48,77 °C
2024-08-01 03:00:50,77 °C
2024-08-01 03:00:52,77 °C
2024-08-01 03:00:53,77 °C
2024-08-01 03:00:55,77 °C
2024-08-01 03:00:57,77 °C
2024-08-01 03:01:02,77 °C
2024-08-01 03:01:04,77 °C
2024-08-01 03:01:05,77 °C
2024-08-01 03:01:06,76 °C
2024-08-01 03:01:07,77 °C
2024-08-01 03:01:09,77 °C
2024-08-01 03:01:11,76 °C
2024-08-01 03:01:12,77 °C
2024-08-01 03:01:13,77 °C
2024-08-01 03:01:16,76 °C
2024-08-01 03:01:17,77 °C
2024-08-01 03:01:18,77 °C
2024-08-01 03:01:20,76 °C
2024-08-01 03:01:21,77 °C
2024-08-01 03:01:23,76 °C
2024-08-01 03:01:24,77 °C
2024-08-01 03:01:26,76 °C
2024-08-01 03:01:27,77 °C
2024-08-01 03:01:36,76 °C
